Browser,Browser Version,Users,Sessions,Pages/Session,Avg. Session Duration,% New Sessions,Bounce Rate
Edge,108.0.1462.62,1,1,3,00:02:44,100.00%,0.00%
Edge,108.0.1462.63,1,1,1,00:00:01,0.00%,0.00%
Edge,108.0.1462.71,1,1,1,00:00:00,0.00%,100.00%
Edge,108.0.1462.89,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.1470.965,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.1477.723,1,1,1,00:00:06,100.00%,0.00%
Edge,108.0.1505.948,1,1,1,00:00:00,0.00%,100.00%
Edge,108.0.1531.434,1,1,1,00:00:01,100.00%,0.00%
Edge,108.0.1579.767,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.1601.813,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.1629.835,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.1635.392,1,1,1,00:00:00,0.00%,100.00%
Edge,108.0.1647.805,1,1,2,00:02:15,100.00%,0.00%
Edge,108.0.1768.979,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.1776.523,1,1,1,00:00:01,100.00%,0.00%
Edge,108.0.1843.409,1,1,4,00:01:07,100.00%,0.00%
Edge,108.0.1850.183,1,1,2,00:05:59,100.00%,0.00%
Edge,108.0.1926.156,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.1934.603,1,1,1,00:00:01,100.00%,0.00%
Edge,108.0.1936.683,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.1983.234,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.1988.207,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.2031.772,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.2089.294,1,1,1,00:00:01,0.00%,0.00%
Edge,108.0.2100.799,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.2161.914,1,1,1,00:00:00,100.00%,0.00%
Edge,108.0.2162.940,1,1,1,00:00:00,0.00%,0.00%
Edge,108.0.2180.723,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.2206.835,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.2261.510,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.2304.156,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.2333.695,1,1,1,00:00:01,0.00%,0.00%
Edge,108.0.2336.310,1,1,1,00:00:01,0.00%,0.00%
Edge,108.0.2414.490,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.2453.853,1,2,1,00:00:00,50.00%,100.00%
Edge,108.0.2505.409,1,1,2,00:00:08,100.00%,0.00%
Edge,108.0.2533.473,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.2584.430,1,1,1,00:00:01,100.00%,0.00%
Edge,108.0.2653.945,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.2673.858,1,1,2,00:01:02,100.00%,0.00%
Edge,108.0.2734.397,1,1,2,00:00:48,100.00%,0.00%
Edge,108.0.2822.373,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.2859.764,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.2867.242,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.2885.230,1,2,1,00:00:00,50.00%,100.00%
Edge,108.0.2918.969,1,1,1,00:00:00,100.00%,0.00%
Edge,108.0.2936.607,1,1,1,00:00:00,0.00%,100.00%
Edge,108.0.2981.652,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.2982.310,1,1,2,00:01:11,100.00%,0.00%
Edge,108.0.2990.461,1,1,1,00:00:03,100.00%,0.00%
Edge,108.0.3026.391,1,2,1,00:00:00,50.00%,100.00%
Edge,108.0.3027.662,1,1,2,00:03:16,0.00%,0.00%
Edge,108.0.3038.758,1,1,1,00:00:00,100.00%,0.00%
Edge,108.0.3098.760,1,1,1,00:00:00,100.00%,100.00%
Edge,108.0.3100.810,1,1,1,00:00:05,100.00%,0.00%
